epoch,avg_loss,lr,fid,best_fid,is_best,fid_no_improve_count
1,0.08320145,0.0000999998,,,0,0
2,0.03102343,0.0000999990,,,0,0
3,0.02604104,0.0000999978,,,0,0
4,0.02240822,0.0000999961,,,0,0
5,0.02062267,0.0000999939,,,0,0
6,0.02041433,0.0000999912,,,0,0
7,0.02033152,0.0000999880,,,0,0
8,0.01779270,0.0000999844,,,0,0
9,0.01823225,0.0000999802,,,0,0
10,0.01655811,0.0000999756,,,0,0
11,0.01772039,0.0000999704,,,0,0
12,0.01634870,0.0000999648,,,0,0
13,0.01610278,0.0000999587,,,0,0
14,0.01502572,0.0000999521,,,0,0
15,0.01436371,0.0000999450,,,0,0
16,0.01596399,0.0000999375,,,0,0
17,0.01652016,0.0000999294,,,0,0
18,0.01423568,0.0000999209,,,0,0
19,0.01392665,0.0000999118,,,0,0
20,0.01342746,0.0000999023,,,0,0
21,0.01424250,0.0000998923,,,0,0
22,0.01394708,0.0000998818,,,0,0
23,0.01390736,0.0000998708,,,0,0
24,0.01314386,0.0000998594,,,0,0
25,0.01453464,0.0000998474,,,0,0
26,0.01296902,0.0000998350,,,0,0
27,0.01414261,0.0000998220,,,0,0
28,0.01294164,0.0000998086,,,0,0
29,0.01293271,0.0000997947,,,0,0
30,0.01339431,0.0000997803,,,0,0
31,0.01369513,0.0000997654,,,0,0
32,0.01180635,0.0000997501,,,0,0
33,0.01190473,0.0000997342,,,0,0
34,0.01254225,0.0000997179,,,0,0
35,0.01383184,0.0000997011,,,0,0
36,0.01248481,0.0000996838,,,0,0
37,0.01272303,0.0000996660,,,0,0
38,0.01315773,0.0000996477,,,0,0
39,0.01314858,0.0000996289,,,0,0
40,0.01398437,0.0000996097,,,0,0
41,0.01210482,0.0000995899,,,0,0
42,0.01273634,0.0000995697,,,0,0
43,0.01254756,0.0000995490,,,0,0
44,0.01330809,0.0000995278,,,0,0
45,0.01268000,0.0000995062,,,0,0
46,0.01222865,0.0000994840,,,0,0
47,0.01096854,0.0000994614,,,0,0
48,0.01386267,0.0000994383,,,0,0
49,0.01252265,0.0000994147,,,0,0
50,0.01309374,0.0000993906,,,0,0
51,0.01259871,0.0000993660,,,0,0
52,0.01161715,0.0000993410,,,0,0
53,0.01162742,0.0000993154,,,0,0
54,0.01278782,0.0000992894,,,0,0
55,0.01279358,0.0000992629,,,0,0
56,0.01320111,0.0000992359,,,0,0
57,0.01132791,0.0000992085,,,0,0
58,0.01255457,0.0000991805,,,0,0
59,0.01168926,0.0000991521,,,0,0
60,0.01213663,0.0000991232,,,0,0
61,0.01128429,0.0000990938,,,0,0
62,0.01220890,0.0000990640,,,0,0
63,0.01120356,0.0000990336,,,0,0
64,0.01219545,0.0000990028,,,0,0
65,0.01274868,0.0000989715,,,0,0
66,0.01330405,0.0000989398,,,0,0
67,0.01254795,0.0000989075,,,0,0
68,0.01252708,0.0000988748,,,0,0
69,0.01248444,0.0000988416,,,0,0
70,0.01328837,0.0000988079,,,0,0
71,0.01166245,0.0000987737,,,0,0
72,0.01248391,0.0000987391,,,0,0
73,0.01252797,0.0000987040,,,0,0
74,0.01209724,0.0000986684,,,0,0
75,0.01202956,0.0000986323,,,0,0
76,0.01138983,0.0000985958,,,0,0
77,0.01191412,0.0000985588,,,0,0
78,0.01136410,0.0000985213,,,0,0
79,0.01158233,0.0000984833,,,0,0
80,0.01207975,0.0000984449,,,0,0
81,0.01206811,0.0000984060,,,0,0
82,0.01245029,0.0000983666,,,0,0
83,0.01081879,0.0000983267,,,0,0
84,0.01330665,0.0000982864,,,0,0
85,0.01136345,0.0000982456,,,0,0
86,0.01270260,0.0000982043,,,0,0
87,0.01226954,0.0000981626,,,0,0
88,0.01190815,0.0000981204,,,0,0
89,0.01157875,0.0000980777,,,0,0
90,0.01192982,0.0000980345,,,0,0
91,0.01221063,0.0000979909,,,0,0
92,0.01149248,0.0000979468,,,0,0
93,0.01195720,0.0000979023,,,0,0
94,0.01124054,0.0000978572,,,0,0
95,0.01144870,0.0000978118,,,0,0
96,0.01119710,0.0000977658,,,0,0
97,0.01142032,0.0000977194,,,0,0
98,0.01046164,0.0000976725,,,0,0
99,0.01333197,0.0000976251,,,0,0
100,0.01045759,0.0000975773,73.450448,73.450448,1,0
101,0.01135894,0.0000975290,,73.450448,0,0
102,0.01139539,0.0000974803,,73.450448,0,0
103,0.01134517,0.0000974310,,73.450448,0,0
104,0.01211179,0.0000973814,,73.450448,0,0
105,0.01128595,0.0000973312,,73.450448,0,0
106,0.01140716,0.0000972806,,73.450448,0,0
107,0.01155389,0.0000972296,,73.450448,0,0
108,0.01115281,0.0000971780,,73.450448,0,0
109,0.01177035,0.0000971260,,73.450448,0,0
110,0.01246015,0.0000970736,,73.450448,0,0
111,0.01142003,0.0000970207,,73.450448,0,0
112,0.01188627,0.0000969673,,73.450448,0,0
113,0.01125386,0.0000969135,,73.450448,0,0
114,0.01144715,0.0000968592,,73.450448,0,0
115,0.01237764,0.0000968045,,73.450448,0,0
116,0.01133031,0.0000967493,,73.450448,0,0
117,0.01137126,0.0000966936,,73.450448,0,0
118,0.01224564,0.0000966375,,73.450448,0,0
119,0.01234436,0.0000965810,,73.450448,0,0
120,0.01076403,0.0000965239,,73.450448,0,0
121,0.01256269,0.0000964665,,73.450448,0,0
122,0.01218022,0.0000964085,,73.450448,0,0
123,0.01165455,0.0000963502,,73.450448,0,0
124,0.01120089,0.0000962913,,73.450448,0,0
125,0.01204723,0.0000962320,,73.450448,0,0
126,0.01143495,0.0000961723,,73.450448,0,0
127,0.01136030,0.0000961121,,73.450448,0,0
