epoch,avg_loss,lr,fid,best_fid,is_best,fid_no_improve_count
1,0.08220878,0.0000999998,,,0,0
2,0.02835785,0.0000999990,,,0,0
3,0.02274827,0.0000999978,,,0,0
4,0.02164331,0.0000999961,,,0,0
5,0.01969934,0.0000999939,,,0,0
6,0.01764129,0.0000999912,,,0,0
7,0.01771988,0.0000999880,,,0,0
8,0.01719174,0.0000999844,,,0,0
9,0.01635253,0.0000999802,,,0,0
10,0.01744190,0.0000999756,,,0,0
11,0.01553968,0.0000999704,,,0,0
12,0.01583258,0.0000999648,,,0,0
13,0.01540649,0.0000999587,,,0,0
14,0.01563755,0.0000999521,,,0,0
15,0.01591355,0.0000999450,,,0,0
16,0.01359334,0.0000999375,,,0,0
17,0.01445056,0.0000999294,,,0,0
18,0.01549129,0.0000999209,,,0,0
19,0.01391576,0.0000999118,,,0,0
20,0.01301870,0.0000999023,,,0,0
21,0.01333934,0.0000998923,,,0,0
22,0.01371953,0.0000998818,,,0,0
23,0.01258705,0.0000998708,,,0,0
24,0.01459200,0.0000998594,,,0,0
25,0.01295843,0.0000998474,,,0,0
26,0.01326378,0.0000998350,,,0,0
27,0.01321634,0.0000998220,,,0,0
28,0.01303731,0.0000998086,,,0,0
29,0.01338768,0.0000997947,,,0,0
30,0.01244443,0.0000997803,,,0,0
31,0.01351981,0.0000997654,,,0,0
32,0.01356746,0.0000997501,,,0,0
33,0.01319705,0.0000997342,,,0,0
34,0.01318711,0.0000997179,,,0,0
35,0.01346617,0.0000997011,,,0,0
36,0.01264252,0.0000996838,,,0,0
37,0.01259526,0.0000996660,,,0,0
38,0.01309249,0.0000996477,,,0,0
39,0.01259074,0.0000996289,,,0,0
40,0.01297133,0.0000996097,,,0,0
41,0.01124214,0.0000995899,,,0,0
42,0.01233725,0.0000995697,,,0,0
43,0.01428124,0.0000995490,,,0,0
44,0.01203649,0.0000995278,,,0,0
45,0.01160883,0.0000995062,,,0,0
46,0.01300543,0.0000994840,,,0,0
47,0.01189320,0.0000994614,,,0,0
48,0.01302190,0.0000994383,,,0,0
49,0.01200736,0.0000994147,,,0,0
50,0.01129148,0.0000993906,,,0,0
51,0.01241761,0.0000993660,,,0,0
52,0.01328174,0.0000993410,,,0,0
53,0.01280682,0.0000993154,,,0,0
54,0.01184422,0.0000992894,,,0,0
55,0.01185468,0.0000992629,,,0,0
56,0.01231678,0.0000992359,,,0,0
57,0.01293298,0.0000992085,,,0,0
58,0.01184333,0.0000991805,,,0,0
59,0.01283741,0.0000991521,,,0,0
60,0.01171962,0.0000991232,,,0,0
61,0.01269912,0.0000990938,,,0,0
62,0.01170769,0.0000990640,,,0,0
63,0.01229951,0.0000990336,,,0,0
64,0.01185976,0.0000990028,,,0,0
65,0.01249535,0.0000989715,,,0,0
66,0.01142364,0.0000989398,,,0,0
67,0.01250525,0.0000989075,,,0,0
68,0.01209200,0.0000988748,,,0,0
69,0.01234211,0.0000988416,,,0,0
70,0.01153663,0.0000988079,,,0,0
71,0.01148538,0.0000987737,,,0,0
72,0.01181703,0.0000987391,,,0,0
73,0.01161734,0.0000987040,,,0,0
74,0.01224204,0.0000986684,,,0,0
75,0.01152617,0.0000986323,,,0,0
76,0.01273338,0.0000985958,,,0,0
77,0.01140552,0.0000985588,,,0,0
78,0.01192937,0.0000985213,,,0,0
79,0.01124947,0.0000984833,,,0,0
80,0.01155172,0.0000984449,,,0,0
81,0.01112217,0.0000984060,,,0,0
82,0.01168394,0.0000983666,,,0,0
83,0.01153966,0.0000983267,,,0,0
84,0.01071789,0.0000982864,,,0,0
85,0.01091593,0.0000982456,,,0,0
86,0.01222249,0.0000982043,,,0,0
87,0.01219724,0.0000981626,,,0,0
88,0.01153862,0.0000981204,,,0,0
89,0.01239033,0.0000980777,,,0,0
90,0.01204920,0.0000980345,,,0,0
91,0.01050254,0.0000979909,,,0,0
92,0.01248020,0.0000979468,,,0,0
93,0.01194867,0.0000979023,,,0,0
94,0.01058336,0.0000978572,,,0,0
95,0.01075533,0.0000978118,,,0,0
96,0.01108156,0.0000977658,,,0,0
97,0.01087112,0.0000977194,,,0,0
98,0.01146423,0.0000976725,,,0,0
99,0.01200186,0.0000976251,,,0,0
100,0.01123599,0.0000975773,88.446674,88.446674,1,0
101,0.01140131,0.0000975290,,88.446674,0,0
102,0.01095860,0.0000974803,,88.446674,0,0
103,0.01064794,0.0000974310,,88.446674,0,0
104,0.01110504,0.0000973814,,88.446674,0,0
105,0.01130056,0.0000973312,,88.446674,0,0
106,0.01342532,0.0000972806,,88.446674,0,0
107,0.01129383,0.0000972296,,88.446674,0,0
108,0.01143168,0.0000971780,,88.446674,0,0
109,0.01142446,0.0000971260,,88.446674,0,0
110,0.01158704,0.0000970736,,88.446674,0,0
111,0.01131870,0.0000970207,,88.446674,0,0
112,0.01229840,0.0000969673,,88.446674,0,0
113,0.00996335,0.0000969135,,88.446674,0,0
114,0.01036961,0.0000968592,,88.446674,0,0
115,0.01071483,0.0000968045,,88.446674,0,0
116,0.01198295,0.0000967493,,88.446674,0,0
117,0.01167188,0.0000966936,,88.446674,0,0
118,0.01122558,0.0000966375,,88.446674,0,0
119,0.01085043,0.0000965810,,88.446674,0,0
120,0.01122493,0.0000965239,,88.446674,0,0
121,0.01127215,0.0000964665,,88.446674,0,0
122,0.01110160,0.0000964085,,88.446674,0,0
123,0.01131721,0.0000963502,,88.446674,0,0
124,0.01155216,0.0000962913,,88.446674,0,0
125,0.01231649,0.0000962320,,88.446674,0,0
126,0.01081829,0.0000961723,,88.446674,0,0
127,0.01186029,0.0000961121,,88.446674,0,0
128,0.01147228,0.0000960515,,88.446674,0,0
129,0.01125666,0.0000959904,,88.446674,0,0
130,0.01018756,0.0000959289,,88.446674,0,0
131,0.01058325,0.0000958669,,88.446674,0,0
132,0.01118447,0.0000958044,,88.446674,0,0
133,0.01198251,0.0000957416,,88.446674,0,0
134,0.01225247,0.0000956782,,88.446674,0,0
135,0.01018019,0.0000956145,,88.446674,0,0
136,0.01156919,0.0000955502,,88.446674,0,0
137,0.01108972,0.0000954856,,88.446674,0,0
138,0.01108153,0.0000954205,,88.446674,0,0
139,0.01097555,0.0000953549,,88.446674,0,0
140,0.01165212,0.0000952889,,88.446674,0,0
141,0.00997659,0.0000952225,,88.446674,0,0
142,0.01097143,0.0000951556,,88.446674,0,0
143,0.01085863,0.0000950883,,88.446674,0,0
144,0.01083816,0.0000950206,,88.446674,0,0
145,0.01076722,0.0000949524,,88.446674,0,0
146,0.01101233,0.0000948837,,88.446674,0,0
147,0.01063898,0.0000948147,,88.446674,0,0
148,0.01134775,0.0000947452,,88.446674,0,0
149,0.01074228,0.0000946752,,88.446674,0,0
150,0.01108200,0.0000946048,,88.446674,0,0
151,0.01038105,0.0000945340,,88.446674,0,0
152,0.01146088,0.0000944628,,88.446674,0,0
153,0.01214244,0.0000943911,,88.446674,0,0
154,0.01134267,0.0000943189,,88.446674,0,0
155,0.01035492,0.0000942464,,88.446674,0,0
156,0.01069476,0.0000941734,,88.446674,0,0
157,0.01151032,0.0000941000,,88.446674,0,0
158,0.01129210,0.0000940262,,88.446674,0,0
159,0.01097803,0.0000939519,,88.446674,0,0
160,0.01028495,0.0000938772,,88.446674,0,0
161,0.01056868,0.0000938020,,88.446674,0,0
162,0.01101495,0.0000937265,,88.446674,0,0
163,0.01092607,0.0000936505,,88.446674,0,0
164,0.01146229,0.0000935741,,88.446674,0,0
165,0.01153963,0.0000934973,,88.446674,0,0
166,0.01040971,0.0000934200,,88.446674,0,0
167,0.01100052,0.0000933423,,88.446674,0,0
168,0.01027669,0.0000932642,,88.446674,0,0
169,0.01085498,0.0000931857,,88.446674,0,0
170,0.01096875,0.0000931067,,88.446674,0,0
171,0.01070965,0.0000930274,,88.446674,0,0
172,0.01034540,0.0000929476,,88.446674,0,0
173,0.01187543,0.0000928674,,88.446674,0,0
174,0.01146264,0.0000927867,,88.446674,0,0
175,0.01086158,0.0000927057,,88.446674,0,0
176,0.01042723,0.0000926242,,88.446674,0,0
177,0.01021625,0.0000925423,,88.446674,0,0
178,0.01052342,0.0000924601,,88.446674,0,0
179,0.01113631,0.0000923774,,88.446674,0,0
180,0.01038634,0.0000922942,,88.446674,0,0
181,0.01116803,0.0000922107,,88.446674,0,0
182,0.01154675,0.0000921268,,88.446674,0,0
183,0.01122214,0.0000920424,,88.446674,0,0
184,0.01055403,0.0000919576,,88.446674,0,0
185,0.01146498,0.0000918725,,88.446674,0,0
186,0.01155079,0.0000917869,,88.446674,0,0
187,0.01153588,0.0000917009,,88.446674,0,0
188,0.01090636,0.0000916145,,88.446674,0,0
189,0.01028411,0.0000915277,,88.446674,0,0
190,0.01097095,0.0000914405,,88.446674,0,0
191,0.01073224,0.0000913529,,88.446674,0,0
192,0.01042027,0.0000912649,,88.446674,0,0
193,0.01075664,0.0000911764,,88.446674,0,0
194,0.01142888,0.0000910876,,88.446674,0,0
195,0.01052516,0.0000909984,,88.446674,0,0
196,0.01087213,0.0000909088,,88.446674,0,0
197,0.01009818,0.0000908188,,88.446674,0,0
198,0.01074632,0.0000907284,,88.446674,0,0
199,0.01034121,0.0000906375,,88.446674,0,0
200,0.01091807,0.0000905463,73.246274,73.246274,1,0
201,0.01095026,0.0000904547,,73.246274,0,0
202,0.01081506,0.0000903627,,73.246274,0,0
203,0.01078853,0.0000902703,,73.246274,0,0
204,0.01100367,0.0000901776,,73.246274,0,0
205,0.01136631,0.0000900844,,73.246274,0,0
206,0.01078586,0.0000899908,,73.246274,0,0
207,0.01124793,0.0000898969,,73.246274,0,0
208,0.01156181,0.0000898025,,73.246274,0,0
209,0.01017067,0.0000897078,,73.246274,0,0
210,0.01068354,0.0000896127,,73.246274,0,0
211,0.01146727,0.0000895172,,73.246274,0,0
