epoch,avg_loss,lr,fid,best_fid,is_best,fid_no_improve_count
1,0.17349799,0.0000999998,,,0,0
2,0.05382217,0.0000999990,,,0,0
3,0.04028281,0.0000999978,,,0,0
4,0.03445463,0.0000999961,,,0,0
5,0.03134447,0.0000999939,,,0,0
6,0.02889268,0.0000999912,,,0,0
7,0.02454875,0.0000999880,,,0,0
8,0.02631527,0.0000999844,,,0,0
9,0.02169767,0.0000999802,,,0,0
10,0.02318481,0.0000999756,,,0,0
11,0.02242368,0.0000999704,,,0,0
12,0.01921402,0.0000999648,,,0,0
13,0.02006908,0.0000999587,,,0,0
14,0.01931508,0.0000999521,,,0,0
15,0.01841389,0.0000999450,,,0,0
16,0.01945021,0.0000999375,,,0,0
17,0.01883123,0.0000999294,,,0,0
18,0.01734125,0.0000999209,,,0,0
19,0.01702920,0.0000999118,,,0,0
20,0.01699428,0.0000999023,,,0,0
21,0.01648670,0.0000998923,,,0,0
22,0.01604522,0.0000998818,,,0,0
23,0.01635859,0.0000998708,,,0,0
24,0.01534445,0.0000998594,,,0,0
25,0.01515416,0.0000998474,,,0,0
26,0.01629149,0.0000998350,,,0,0
27,0.01528209,0.0000998220,,,0,0
28,0.01478615,0.0000998086,,,0,0
29,0.01384519,0.0000997947,,,0,0
30,0.01462445,0.0000997803,,,0,0
31,0.01565932,0.0000997654,,,0,0
32,0.01409479,0.0000997501,,,0,0
33,0.01415547,0.0000997342,,,0,0
34,0.01471738,0.0000997179,,,0,0
35,0.01570406,0.0000997011,,,0,0
36,0.01375493,0.0000996838,,,0,0
37,0.01421112,0.0000996660,,,0,0
38,0.01494235,0.0000996477,,,0,0
39,0.01491539,0.0000996289,,,0,0
40,0.01487632,0.0000996097,,,0,0
41,0.01443256,0.0000995899,,,0,0
42,0.01382923,0.0000995697,,,0,0
43,0.01382857,0.0000995490,,,0,0
44,0.01384687,0.0000995278,,,0,0
45,0.01340908,0.0000995062,,,0,0
46,0.01375920,0.0000994840,,,0,0
47,0.01355441,0.0000994614,,,0,0
48,0.01315436,0.0000994383,,,0,0
49,0.01185452,0.0000994147,,,0,0
50,0.01251315,0.0000993906,,,0,0
51,0.01362622,0.0000993660,,,0,0
52,0.01408877,0.0000993410,,,0,0
53,0.01372775,0.0000993154,,,0,0
54,0.01505582,0.0000992894,,,0,0
55,0.01270585,0.0000992629,,,0,0
56,0.01345614,0.0000992359,,,0,0
57,0.01389789,0.0000992085,,,0,0
58,0.01422410,0.0000991805,,,0,0
59,0.01396287,0.0000991521,,,0,0
60,0.01308627,0.0000991232,,,0,0
61,0.01199692,0.0000990938,,,0,0
62,0.01351526,0.0000990640,,,0,0
63,0.01337176,0.0000990336,,,0,0
64,0.01317994,0.0000990028,,,0,0
65,0.01335422,0.0000989715,,,0,0
66,0.01340974,0.0000989398,,,0,0
67,0.01224447,0.0000989075,,,0,0
68,0.01245370,0.0000988748,,,0,0
69,0.01217906,0.0000988416,,,0,0
70,0.01279625,0.0000988079,,,0,0
71,0.01356794,0.0000987737,,,0,0
72,0.01185917,0.0000987391,,,0,0
73,0.01317170,0.0000987040,,,0,0
74,0.01323103,0.0000986684,,,0,0
75,0.01355111,0.0000986323,,,0,0
76,0.01366764,0.0000985958,,,0,0
77,0.01282497,0.0000985588,,,0,0
78,0.01298609,0.0000985213,,,0,0
79,0.01350160,0.0000984833,,,0,0
80,0.01215291,0.0000984449,,,0,0
81,0.01219094,0.0000984060,,,0,0
82,0.01247633,0.0000983666,,,0,0
83,0.01211300,0.0000983267,,,0,0
84,0.01245244,0.0000982864,,,0,0
85,0.01313788,0.0000982456,,,0,0
86,0.01072075,0.0000982043,,,0,0
87,0.01196567,0.0000981626,,,0,0
88,0.01232430,0.0000981204,,,0,0
89,0.01256619,0.0000980777,,,0,0
90,0.01254162,0.0000980345,,,0,0
91,0.01269717,0.0000979909,,,0,0
92,0.01250885,0.0000979468,,,0,0
93,0.01173879,0.0000979023,,,0,0
94,0.01213020,0.0000978572,,,0,0
95,0.01361285,0.0000978118,,,0,0
96,0.01234882,0.0000977658,,,0,0
97,0.01150720,0.0000977194,,,0,0
98,0.01293609,0.0000976725,,,0,0
99,0.01277278,0.0000976251,,,0,0
100,0.01273215,0.0000975773,76.478107,76.478107,1,0
101,0.01164278,0.0000975290,,76.478107,0,0
102,0.01215625,0.0000974803,,76.478107,0,0
103,0.01137619,0.0000974310,,76.478107,0,0
104,0.01218589,0.0000973814,,76.478107,0,0
105,0.01192441,0.0000973312,,76.478107,0,0
106,0.01178892,0.0000972806,,76.478107,0,0
107,0.01226582,0.0000972296,,76.478107,0,0
108,0.01190074,0.0000971780,,76.478107,0,0
109,0.01257178,0.0000971260,,76.478107,0,0
110,0.01299140,0.0000970736,,76.478107,0,0
111,0.01213747,0.0000970207,,76.478107,0,0
112,0.01247918,0.0000969673,,76.478107,0,0
113,0.01297535,0.0000969135,,76.478107,0,0
114,0.01278777,0.0000968592,,76.478107,0,0
115,0.01236615,0.0000968045,,76.478107,0,0
116,0.01278531,0.0000967493,,76.478107,0,0
117,0.01142300,0.0000966936,,76.478107,0,0
118,0.01112979,0.0000966375,,76.478107,0,0
119,0.01383714,0.0000965810,,76.478107,0,0
120,0.01257814,0.0000965239,,76.478107,0,0
121,0.01097253,0.0000964665,,76.478107,0,0
122,0.01135393,0.0000964085,,76.478107,0,0
123,0.01328804,0.0000963502,,76.478107,0,0
124,0.01281443,0.0000962913,,76.478107,0,0
125,0.01197913,0.0000962320,,76.478107,0,0
126,0.01138173,0.0000961723,,76.478107,0,0
127,0.01364573,0.0000961121,,76.478107,0,0
128,0.01205602,0.0000960515,,76.478107,0,0
129,0.01112023,0.0000959904,,76.478107,0,0
130,0.01228168,0.0000959289,,76.478107,0,0
131,0.01128543,0.0000958669,,76.478107,0,0
132,0.01229158,0.0000958044,,76.478107,0,0
133,0.01195640,0.0000957416,,76.478107,0,0
134,0.01207799,0.0000956782,,76.478107,0,0
135,0.01228996,0.0000956145,,76.478107,0,0
136,0.01138951,0.0000955502,,76.478107,0,0
137,0.01362597,0.0000954856,,76.478107,0,0
138,0.01214607,0.0000954205,,76.478107,0,0
139,0.01177829,0.0000953549,,76.478107,0,0
140,0.01227876,0.0000952889,,76.478107,0,0
141,0.01219855,0.0000952225,,76.478107,0,0
142,0.01118707,0.0000951556,,76.478107,0,0
143,0.01271392,0.0000950883,,76.478107,0,0
144,0.01226080,0.0000950206,,76.478107,0,0
145,0.01189354,0.0000949524,,76.478107,0,0
146,0.01174699,0.0000948837,,76.478107,0,0
147,0.01243327,0.0000948147,,76.478107,0,0
148,0.01213600,0.0000947452,,76.478107,0,0
149,0.01181057,0.0000946752,,76.478107,0,0
150,0.01187148,0.0000946048,,76.478107,0,0
151,0.01173809,0.0000945340,,76.478107,0,0
152,0.01179521,0.0000944628,,76.478107,0,0
153,0.01153719,0.0000943911,,76.478107,0,0
154,0.01239946,0.0000943189,,76.478107,0,0
155,0.01110914,0.0000942464,,76.478107,0,0
156,0.01259538,0.0000941734,,76.478107,0,0
157,0.01161659,0.0000941000,,76.478107,0,0
158,0.01137453,0.0000940262,,76.478107,0,0
159,0.01176908,0.0000939519,,76.478107,0,0
160,0.01223644,0.0000938772,,76.478107,0,0
161,0.01127809,0.0000938020,,76.478107,0,0
162,0.01146323,0.0000937265,,76.478107,0,0
163,0.01200681,0.0000936505,,76.478107,0,0
164,0.01340374,0.0000935741,,76.478107,0,0
165,0.01134008,0.0000934973,,76.478107,0,0
166,0.01199363,0.0000934200,,76.478107,0,0
167,0.01215574,0.0000933423,,76.478107,0,0
168,0.01173940,0.0000932642,,76.478107,0,0
169,0.01279729,0.0000931857,,76.478107,0,0
170,0.01150971,0.0000931067,,76.478107,0,0
171,0.01131534,0.0000930274,,76.478107,0,0
172,0.01188875,0.0000929476,,76.478107,0,0
173,0.01145932,0.0000928674,,76.478107,0,0
174,0.01240383,0.0000927867,,76.478107,0,0
175,0.01135326,0.0000927057,,76.478107,0,0
176,0.01211354,0.0000926242,,76.478107,0,0
177,0.01162180,0.0000925423,,76.478107,0,0
178,0.01114080,0.0000924601,,76.478107,0,0
179,0.01162074,0.0000923774,,76.478107,0,0
180,0.01221280,0.0000922942,,76.478107,0,0
