epoch,avg_loss,lr,fid,best_fid,is_best,fid_no_improve_count
1,0.10794501,0.0000999998,,,0,0
2,0.03986033,0.0000999990,,,0,0
3,0.02956869,0.0000999978,,,0,0
4,0.02614296,0.0000999961,,,0,0
5,0.02403453,0.0000999939,,,0,0
6,0.02393934,0.0000999912,,,0,0
7,0.02376576,0.0000999880,,,0,0
8,0.02274095,0.0000999844,,,0,0
9,0.02028198,0.0000999802,,,0,0
10,0.01944054,0.0000999756,,,0,0
11,0.01895654,0.0000999704,,,0,0
12,0.01825809,0.0000999648,,,0,0
13,0.01849088,0.0000999587,,,0,0
14,0.01799522,0.0000999521,,,0,0
15,0.01731253,0.0000999450,,,0,0
16,0.01714232,0.0000999375,,,0,0
17,0.01701445,0.0000999294,,,0,0
18,0.01742727,0.0000999209,,,0,0
19,0.01768514,0.0000999118,,,0,0
20,0.01579510,0.0000999023,,,0,0
21,0.01679649,0.0000998923,,,0,0
22,0.01531926,0.0000998818,,,0,0
23,0.01538781,0.0000998708,,,0,0
24,0.01473750,0.0000998594,,,0,0
25,0.01785737,0.0000998474,,,0,0
26,0.01507305,0.0000998350,,,0,0
27,0.01478008,0.0000998220,,,0,0
28,0.01599052,0.0000998086,,,0,0
29,0.01504167,0.0000997947,,,0,0
30,0.01589890,0.0000997803,,,0,0
31,0.01507689,0.0000997654,,,0,0
32,0.01447158,0.0000997501,,,0,0
33,0.01381712,0.0000997342,,,0,0
34,0.01527153,0.0000997179,,,0,0
35,0.01457418,0.0000997011,,,0,0
36,0.01415949,0.0000996838,,,0,0
37,0.01383981,0.0000996660,,,0,0
38,0.01550106,0.0000996477,,,0,0
39,0.01453535,0.0000996289,,,0,0
40,0.01577191,0.0000996097,,,0,0
41,0.01587410,0.0000995899,,,0,0
42,0.01446081,0.0000995697,,,0,0
43,0.01469540,0.0000995490,,,0,0
44,0.01375782,0.0000995278,,,0,0
45,0.01349458,0.0000995062,,,0,0
46,0.01421756,0.0000994840,,,0,0
47,0.01386628,0.0000994614,,,0,0
48,0.01377470,0.0000994383,,,0,0
49,0.01409912,0.0000994147,,,0,0
50,0.01436287,0.0000993906,,,0,0
51,0.01387375,0.0000993660,,,0,0
52,0.01460837,0.0000993410,,,0,0
53,0.01427514,0.0000993154,,,0,0
54,0.01354071,0.0000992894,,,0,0
55,0.01457810,0.0000992629,,,0,0
56,0.01352791,0.0000992359,,,0,0
57,0.01301779,0.0000992085,,,0,0
58,0.01246508,0.0000991805,,,0,0
59,0.01449601,0.0000991521,,,0,0
60,0.01435088,0.0000991232,,,0,0
61,0.01305059,0.0000990938,,,0,0
62,0.01374632,0.0000990640,,,0,0
63,0.01361889,0.0000990336,,,0,0
64,0.01510718,0.0000990028,,,0,0
65,0.01305431,0.0000989715,,,0,0
66,0.01367264,0.0000989398,,,0,0
67,0.01308810,0.0000989075,,,0,0
68,0.01427441,0.0000988748,,,0,0
69,0.01473252,0.0000988416,,,0,0
70,0.01374984,0.0000988079,,,0,0
71,0.01316987,0.0000987737,,,0,0
72,0.01489417,0.0000987391,,,0,0
73,0.01389506,0.0000987040,,,0,0
74,0.01382094,0.0000986684,,,0,0
75,0.01432951,0.0000986323,,,0,0
76,0.01245592,0.0000985958,,,0,0
77,0.01245537,0.0000985588,,,0,0
78,0.01268175,0.0000985213,,,0,0
79,0.01368567,0.0000984833,,,0,0
80,0.01345848,0.0000984449,,,0,0
81,0.01262950,0.0000984060,,,0,0
82,0.01341085,0.0000983666,,,0,0
83,0.01356477,0.0000983267,,,0,0
84,0.01356770,0.0000982864,,,0,0
85,0.01309724,0.0000982456,,,0,0
